#  Bravais lattice: NaCl crystal structure (fcc)
#
# x 	 y 	 z 	 r 	 c #
#---	---	---	---	---#
-10.8	2.7	10.8	1.67	65208
-10.8	0	13.5	1.67	65208
-8.1	2.7	13.5	1.67	65208
-10.8	0	16.2	1.16	255
-10.8	2.7	18.9	1.16	255
-8.1	0	18.9	1.16	255
-8.1	2.7	16.2	1.16	255
-8.1	0	16.2	1.67	65208
-10.8	2.7	16.2	1.67	65208
-10.8	0	18.9	1.67	65208
-8.1	2.7	18.9	1.67	65208
-10.8	5.4	-16.2	1.16	255
-10.8	8.1	-13.5	1.16	255
-8.1	5.4	-13.5	1.16	255
-8.1	8.1	-16.2	1.16	255
-8.1	5.4	-16.2	1.67	65208
-10.8	8.1	-16.2	1.67	65208
-10.8	5.4	-13.5	1.67	65208
-8.1	8.1	-13.5	1.67	65208
-10.8	5.4	-10.8	1.16	255
-10.8	8.1	-8.1	1.16	255
-8.1	5.4	-8.1	1.16	255
-8.1	8.1	-10.8	1.16	255
-8.1	5.4	-10.8	1.67	65208
-10.8	8.1	-10.8	1.67	65208
-10.8	5.4	-8.1	1.67	65208
-8.1	8.1	-8.1	1.67	65208
-10.8	5.4	-5.4	1.16	255
-10.8	8.1	-2.7	1.16	255
-8.1	5.4	-2.7	1.16	255
-8.1	8.1	-5.4	1.16	255
-8.1	5.4	-5.4	1.67	65208
-10.8	8.1	-5.4	1.67	65208
-10.8	5.4	-2.7	1.67	65208
-8.1	8.1	-2.7	1.67	65208
-10.8	5.4	0	1.16	255
-10.8	8.1	2.7	1.16	255
-8.1	5.4	2.7	1.16	255
-8.1	8.1	0	1.16	255
-8.1	5.4	0	1.67	65208
-10.8	8.1	0	1.67	65208
-10.8	5.4	2.7	1.67	65208
-8.1	8.1	2.7	1.67	65208
-10.8	5.4	5.4	1.16	255
-10.8	8.1	8.1	1.16	255
-8.1	5.4	8.1	1.16	255
-8.1	8.1	5.4	1.16	255
-8.1	5.4	5.4	1.67	65208
-10.8	8.1	5.4	1.67	65208
-10.8	5.4	8.1	1.67	65208
-8.1	8.1	8.1	1.67	65208
-10.8	5.4	10.8	1.16	255
-10.8	8.1	13.5	1.16	255
-8.1	5.4	13.5	1.16	255
-8.1	8.1	10.8	1.16	255
-8.1	5.4	10.8	1.67	65208
-10.8	8.1	10.8	1.67	65208
-10.8	5.4	13.5	1.67	65208
-8.1	8.1	13.5	1.67	65208
